Myctophiformes_Myctophidae_Diaphus_hudsoni_EPLATE_49_G02,Myctophiformes
Myctophiformes_Myctophidae_Diaphus_whitleyi_EPLATE_49_G09,Myctophiformes
Myctophiformes_Myctophidae_Diaphus_termophilus_EPLATE_49_E01,Myctophiformes
Galaxiiformes_Galaxiidae_Lovettia_sealii_EPLATE_25_B10,Galaxiiformes
Galaxiiformes_Galaxiidae_Galaxiella_nigrostriata_71,Galaxiiformes
Galaxiiformes_Galaxiidae_Galaxias_truttaceus_EPLATE_25_B09,Galaxiiformes
Galaxiiformes_Galaxiidae_Galaxias_maculatus_73,Galaxiiformes
Osmeriformes_Osmeridae_Mallotus_villosus_GCA_903064625.1,Osmeriformes
Osmeriformes_Osmeridae_Spirinchus_thaleichthys_75,Osmeriformes
Osmeriformes_Osmeridae_Thaleichthys_pacificus_76,Osmeriformes
Osmeriformes_Osmeridae_Osmerus_eperlanus_77,Osmeriformes
Osmeriformes_Osmeridae_Osmerus_mordax_EPLATE_44_E11,Osmeriformes
Osmeriformes_Plecoglossidae_Plecoglossus_altivelis_EPLATE_44_G03,Osmeriformes
Osmeriformes_Salangidae_Salanx_sp1_EPLATE_64_D11,Osmeriformes
Osmeriformes_Salangidae_Salanx_chinensis_GCA_010882115.1,Osmeriformes
Osmeriformes_Salangidae_Protosalanx_hyalocranius_82,Osmeriformes
Stomiatiformes_Phosichthyidae_Vinciguerria_nimbaria_EPLATE_53_C11,Stomiatiformes
Stomiatiformes_Phosichthyidae_Vinciguerria_attenuata_EPLATE_53_D11,Stomiatiformes
Stomiatiformes_Phosichthyidae_Vinciguerria_attenuata_EPLATE_53_B11,Stomiatiformes
Stomiatiformes_Sternoptychidae_Maurolicus_mucronatus_86,Stomiatiformes
Stomiatiformes_Sternoptychidae_Maurolicus_muelleri_EPLATE_24_C05,Stomiatiformes
Stomiatiformes_Sternoptychidae_Maurolicus_japonicus_EPLATE_56_F05,Stomiatiformes
Stomiatiformes_Sternoptychidae_Sternoptyx_pseudodiaphana_EPLATE_18_G07,Stomiatiformes
Stomiatiformes_Sternoptychidae_Sternoptyx_diaphana_EPLATE_18_E07,Stomiatiformes
Stomiatiformes_Sternoptychidae_Argyropelecus_hemigymnus_EPLATE_53_D08,Stomiatiformes
Stomiatiformes_Sternoptychidae_Argyropelecus_affinis_EPLATE_18_F08,Stomiatiformes
Stomiatiformes_Sternoptychidae_Argyropelecus_gigas_EPLATE_53_B08,Stomiatiformes
Stomiatiformes_Sternoptychidae_Argyropelecus_aculeatus_EPLATE_33_F02,Stomiatiformes
Stomiatiformes_Sternoptychidae_Argyropelecus_olfersii_EPLATE_18_H09,Stomiatiformes
Stomiatiformes_Sternoptychidae_Argyropelecus_sladeni_EPLATE_53_E08,Stomiatiformes
Stomiatiformes_Gonostomatidae_Diplophos_rebainsi_EPLATE_53_F09,Stomiatiformes
Stomiatiformes_Gonostomatidae_Diplophos_taenia_EPLATE_18_F09,Stomiatiformes
Stomiatiformes_Gonostomatidae_Diplophos_australis_EPLATE_53_G09,Stomiatiformes
Stomiatiformes_Gonostomatidae_Margrethia_valentinae_EPLATE_53_D10,Stomiatiformes
Stomiatiformes_Gonostomatidae_Sigmops_bathyphilus_EPLATE_53_C10,Stomiatiformes
Stomiatiformes_Gonostomatidae_Gonostoma_atlanticum_EPLATE_53_A10,Stomiatiformes
Stomiatiformes_Gonostomatidae_Sigmops_elongatus_EPLATE_53_H09,Stomiatiformes
Stomiatiformes_Sternoptychidae_Polyipnus_ruggeri_EPLATE_53_B09,Stomiatiformes
Stomiatiformes_Sternoptychidae_Argyripnus_atlanticus_EPLATE_18_H06,Stomiatiformes
Stomiatiformes_Sternoptychidae_Argyripnus_iridescens_EPLATE_53_F08,Stomiatiformes
Stomiatiformes_Phosichthyidae_Ichthyococcus_australis_EPLATE_53_E10,Stomiatiformes
Stomiatiformes_Phosichthyidae_Woodsia_meyerwaardeni_EPLATE_53_E11,Stomiatiformes
Stomiatiformes_Phosichthyidae_Phosichthys_argenteus_EPLATE_53_A11,Stomiatiformes
Stomiatiformes_Stomiidae_Chauliodus_sloani_EPLATE_18_A09,Stomiatiformes
Stomiatiformes_Stomiidae_Stomias_affinis_EPLATE_18_G08,Stomiatiformes
Stomiatiformes_Stomiidae_Stomias_boa_EPLATE_24_B12,Stomiatiformes
Stomiatiformes_Stomiidae_Stomias_gracilis_EPLATE_53_F12,Stomiatiformes
Stomiatiformes_Stomiidae_Neonesthes_microcephalus_EPLATE_53_B12,Stomiatiformes
Stomiatiformes_Stomiidae_Borostomias_antarcticus_115,Stomiatiformes
Stomiatiformes_Stomiidae_Rhadinesthes_decimus_EPLATE_53_A12,Stomiatiformes
Stomiatiformes_Stomiidae_Astronesthes_illuminatus_EPLATE_53_G11,Stomiatiformes
Stomiatiformes_Stomiidae_Astronesthes_boulengeri_EPLATE_53_F11,Stomiatiformes
Stomiatiformes_Stomiidae_Photostomias_tantillux_EPLATE_18_D09,Stomiatiformes
Stomiatiformes_Stomiidae_Bathophilus_abarbatus_EPLATE_53_G12,Stomiatiformes
Stomiatiformes_Stomiidae_Pachystomias_microdon_121,Stomiatiformes
Stomiatiformes_Stomiidae_Malacosteus_niger_EPLATE_18_A10,Stomiatiformes
Stomiatiformes_Stomiidae_Malacosteus_australis_EPLATE_53_C12,Stomiatiformes
